1,1,0.294,0.119,0.5,0.5,0.5,0.2,0.6,0.667,0.857,0.308,0.581,1
1,1,0.353,0.164,0.667,1,0.5,0.2,0.4,0.667,0.857,0.615,0.581,1
0.5,1,0.324,0.14,0.667,0.5,1,0.2,0.4,0.667,0.857,0.077,0.581,0.1
1,1,0.559,0.317,0.5,1,0.5,0.4,0.4,0.667,1,0.308,0.516,0.5
1,1,0.529,0.289,0.5,0.5,0.5,0.4,0.4,0.667,1,0.385,0.194,0.5
1,1,0.941,0.364,0.333,0.5,0.5,0.2,0.6,0.333,0.857,0.923,0.097,1
1,1,0.206,0.054,0.333,0.5,0.5,0.2,0.6,0.333,0.857,0.923,0.097,0.5
1,1,0.559,0.313,0.5,1,0.5,0.4,0.6,0.667,1,0.385,0.581,1
1,1,0.382,0.185,0.333,0.5,0.5,0.4,0.6,0.333,0.857,0.077,0.097,1
1,1,0.618,0.983,0.5,1,0.5,0.4,0.6,0.333,1,0.077,0.581,1
0.5,1,0.294,0.121,0.333,0.5,1,0.2,0.8,0.333,0.857,0.923,0.097,0.1
1,1,0.294,0.123,0.5,1,0.5,0.8,0.8,0.667,1,0.385,0.71,0.5
1,1,0.029,0.002,0.5,1,0.5,0.4,0.8,0.667,1,0.615,0.581,1
1,1,0.088,0.006,0.5,0.5,0.5,0.8,1,0.667,0.857,0.385,0.71,1
1,1,0.588,0.369,0.333,0.5,0.5,0.2,0.2,0.333,0.714,0.077,0.097,1
1,1,0.029,0.002,0.5,0.5,0.5,0.4,0.6,0.667,1,0.077,0.097,1
1,1,0.088,0.006,0.667,1,0.5,0.4,0.6,0.667,0.857,0.154,0.097,0.5
0.5,0.5,0.471,0.241,0.5,1,1,0.4,0.4,0.333,0.714,0.154,0.097,0.1
1,1,0.559,0.343,0.5,0.5,0.5,0.4,0.6,0.667,0.714,0.077,0.097,1
1,1,0.412,0.573,0.5,0.5,0.5,0.4,0.4,0.667,0.857,0.615,0.097,1
1,1,0.206,0.056,0.5,0.5,0.5,0.2,0.4,0.667,0.857,0.077,0.71,1
1,1,0.941,0.36,0.5,0.5,0.5,0.2,0.6,0.333,0.857,0.077,0.097,0.5
1,1,0.294,0.134,0.5,0.5,0.5,0.4,0.4,0.333,1,0.077,0.097,1
1,1,0.206,0.054,0.5,1,0.5,0.2,0.4,0.667,0.857,0.077,0.516,1
1,1,0.294,0.125,0.333,0.5,0.5,0.6,0.8,0.667,0.857,0.308,0.71,1
0.5,0.5,0.324,0.142,0.667,0.5,1,0.2,0.4,0.667,0.857,0.385,0.581,0.1
1,1,0.059,0.004,0.333,1,0.5,0.2,0.4,0.333,0.857,0.923,0.097,0.5
1,1,0.618,0.373,0.667,1,0.5,0.2,0.4,0.667,1,0.462,0.516,0.5
1,1,0.147,0.015,0.667,1,0.5,0.2,0.2,0.667,0.857,0.385,0.581,0.5
1,1,0.471,0.259,0.5,1,0.5,0.4,0.8,0.333,0.571,1,0.097,1
0.5,1,0.5,0.274,0.5,0.5,1,0.2,0.4,0.333,0.857,0.308,0.097,0.1
1,1,0.618,0.373,0.5,1,0.5,0.6,0.8,0.667,0.857,0.385,0.581,0.5
1,1,0.471,0.241,0.333,1,0.5,0.4,0.6,0.333,0.857,0.308,0.097,1
1,1,0.324,0.14,0.667,0.5,0.5,0.2,0.6,0.667,0.714,0.077,0.581,0.5
1,1,0.559,0.317,0.5,1,0.5,0.4,0.6,0.333,0.857,0.308,0.581,1
1,1,0.029,0.002,0.5,1,0.5,0.2,0.4,0.333,0.857,0.077,0.581,0.5
1,1,0.559,0.317,0.667,0.5,0.5,0.4,0.8,0.667,0.857,0.615,0.097,0.5
1,1,0.5,0.272,1,0.5,0.5,0.2,0.4,0.333,0.714,0.769,0.581,1
1,1,0.559,0.313,0.333,0.5,0.5,0.2,0.4,0.333,0.714,0.154,0.097,1
1,1,0.382,0.187,0.333,0.5,0.5,0.6,1,0.333,0.857,0.077,0.581,1
1,1,0.206,0.056,0.5,1,0.5,0.2,0.2,0.333,1,0.923,0.032,0.1
1,1,0.324,0.14,0.5,1,0.5,0.4,0.6,0.667,0.429,1,0.71,0.5
1,1,0.618,0.373,0.5,0.5,0.5,0.4,0.8,0.667,1,0.077,0.581,1
1,1,0.5,0.269,0.667,0.5,0.5,0.4,0.6,0.667,1,0.615,0.097,1
0.5,1,0.382,0.196,0.5,1,1,0.2,0.2,0.667,1,1,0.71,0.1
1,1,0.029,0.002,0.5,0.5,0.5,0.2,0.2,0.333,0.857,0.231,0.581,0.5
1,1,0.294,0.86,0.5,0.5,0.5,0.2,0.4,0.667,0.857,0.077,0.097,1
1,1,0.206,0.078,0.5,1,0.5,0.2,0.4,0.333,0.571,1,0.581,0.5
1,1,0.559,0.313,0.5,0.5,0.5,0.2,0.6,0.333,0.857,0.077,0.097,0.5
1,1,0.559,0.317,0.5,1,0.5,0.4,0.6,0.333,0.714,0.077,0.097,0.5
1,1,0.059,0.004,0.5,0.5,0.5,0.4,0.6,0.667,1,0.077,0.581,1
1,1,0.412,0.205,0.5,1,0.5,0.4,0.6,0.667,1,0.462,0.71,0.5
1,1,0.618,0.388,0.5,0.5,0.5,0.2,0.4,0.667,0.857,0.615,0.097,1
1,0.5,0.559,0.313,0.5,1,0.5,0.2,0.4,0.333,0.571,0.077,0.516,0.5
1,1,0.441,0.216,0.5,0.5,0.5,0.2,0.2,0.333,0.286,0.692,0.097,1
1,1,0.559,0.313,0.5,0.5,0.5,0.4,0.6,0.333,0.857,0.077,0.097,1
0.5,1,0.5,0.269,0.5,1,0.5,0.4,0.6,0.667,0.857,0.231,0.71,1
1,1,0.559,0.313,0.5,0.5,0.5,0.4,0.8,0.333,0.857,0.615,0.581,1
1,1,0.559,0.313,0.5,0.5,0.5,0.4,0.6,0.667,0.857,0.077,0.097,1
1,1,0.059,0.004,0.5,1,0.5,0.8,0.8,0.333,0.857,0.308,0.71,1
1,1,0.353,0.16,0.5,1,0.5,0.4,0.6,0.333,0.857,0.385,0.097,1
1,1,0.5,0.272,0.333,0.5,0.5,0.2,0.4,0.333,0.857,0.077,0.097,1
